session_id,customer_id,page_views,session_duration,source,visit_date
d7fc151f-acb2-4013-a659-2fe2698c1148,13,9,158,Organic,2024-03-20
97540db1-7153-477d-ac1c-048b684ff8c9,518,2,228,Social,2024-03-26
b63643ec-f425-4a89-92c1-cfbe93107158,160,9,182,Organic,2024-01-03
ad00b3ba-69f6-4a62-8417-226b5638650d,572,10,283,Organic,2024-02-11
44933986-fee8-4d1d-98ea-7dcff8888a6c,702,1,59,Direct,2024-02-24
65196eef-bdb7-4de3-a974-9ef4b986cf81,908,4,204,Referral,2024-02-18
e120b140-b7a8-405a-9ec8-cbebb5d54afd,210,4,57,Direct,2024-02-01
93d43fa2-2366-4bcf-a338-1fc0af664517,444,4,71,Direct,2024-03-09
36ee669e-35e9-45d5-bef5-53e9caecd67b,186,2,264,Referral,2024-01-22
5c27b54d-fbae-4587-8ce0-5858d095d906,714,10,48,Social,2024-04-06
80509f45-c67f-4693-a479-60c39b521875,531,10,37,Organic,2024-04-07
344b3715-d222-43cb-83dd-ad6cc102076a,601,4,183,Referral,2024-01-02
00217aeb-5560-4fb6-ab62-b6e53d595b39,805,8,238,Referral,2024-03-12
ce7a3c46-fc97-4310-aa05-97915c8c8f7d,863,6,179,Organic,2024-04-07
0e331241-5ea2-458e-9edd-822fcf1e1f6c,485,8,199,Direct,2024-01-23
a9d8d363-2e2e-4694-a1f6-e80f3e8a690b,345,6,201,Direct,2024-02-21
c216ae7c-000b-4914-b91e-6ffce9b1f049,815,10,296,Organic,2024-01-31
9222be40-8195-4ddd-8bf7-39b3016c730e,269,1,159,Referral,2024-03-10
f87efa16-aa33-4746-bd45-ccd09be70b2d,178,6,260,Referral,2024-04-02
615f4f76-ae45-430d-aa02-492e94e1f268,601,9,77,Social,2024-03-17
294fb9d8-b3fc-4b5f-8fe6-3598a6940edf,207,5,68,Referral,2024-01-14
960150f7-bee9-4e6f-9e17-c47be0ab5ea2,361,10,260,Direct,2024-03-16
ad5ab2b8-839b-4f5d-8d76-ea79a80e83e4,99,7,183,Direct,2024-01-04
636575ad-01bc-4384-a8e2-9a1942106b73,970,1,253,Direct,2024-01-07
9010e076-5e46-47a6-b74c-1266681ca760,817,6,66,Organic,2024-02-09
517aa490-0d04-413c-ba34-f62079245208,674,9,91,Referral,2024-01-06
1fca318a-945d-4dac-81b9-1212786f47f5,570,5,221,Referral,2024-01-21
81e9b168-8e4a-4f64-90b4-44f249765f2a,471,4,105,Referral,2024-04-11
46944c9b-5afe-4691-8af6-0af326e41cea,382,2,108,Referral,2024-04-27
1a6b1126-97bd-4162-a65a-ed8baf2b587b,117,9,50,Social,2024-03-28
86848dd9-f731-4db0-8f73-583069c8752e,672,10,188,Social,2024-03-16
fc48c53b-7617-4e32-86e2-4574d92826d5,794,2,298,Direct,2024-02-27
a3d85f38-9ab5-4dd9-8849-626ea7dfa187,236,8,43,Social,2024-03-20
ce25d30b-a3bc-4d53-a7a1-191f558c2867,470,4,131,Organic,2024-01-15
ec108515-f89f-41b2-82a7-eac84999630a,977,10,195,Organic,2024-03-14
a22fc5bb-c23c-4a1c-8fda-e37734d755ca,367,1,72,Social,2024-04-24
97c4e838-2d43-49b3-a094-e01e7d8d9513,970,7,65,Organic,2024-04-10
7ba5ea08-2ee4-478c-9a6e-297d0c3814b4,664,3,281,Organic,2024-02-05
7a748a13-4291-47ba-8aac-e1304eafa8bd,239,3,119,Direct,2024-02-23
8e971312-55c2-41b3-a4d8-3acfbbf73a76,559,6,213,Organic,2024-03-15
e3e96f1f-4929-4ba9-8d93-30e2c1447f5f,825,2,247,Referral,2024-02-17
bad7a1cc-f57a-43dd-9815-0f2cfe4bafcc,520,7,195,Referral,2024-02-06
917a1c88-38d7-4e99-b9e3-817c42b437cd,529,6,267,Social,2024-01-11
e06dff10-5fe8-464f-9181-2fd75978975a,38,5,216,Social,2024-03-11
b6881b92-d220-4775-ab72-e625f1fedf4e,674,1,197,Social,2024-03-17
4ef6746c-f3ec-48d8-8602-758738cac837,248,4,133,Direct,2024-01-27
4033d4b4-cce9-4668-b9ae-4b2ea4f3f56f,677,6,99,Organic,2024-03-14
46704803-9716-48b0-ae09-eed0402ac811,345,6,154,Social,2024-03-14
0fa07e61-fb95-4233-8677-b1381c8031bf,95,7,105,Organic,2024-04-25
1b481f79-e3f6-40aa-a4d1-3763b2b181bc,31,2,254,Organic,2024-01-09
df0d5914-4a7f-451f-adbd-edcb7d219a04,185,2,96,Organic,2024-01-11
0a0b7826-4f6a-4e11-8fc3-789a8bd0cdd4,771,4,244,Social,2024-02-23
cb41b1a6-1728-46e9-bca6-67d880c36e73,900,7,55,Direct,2024-03-18
53c33239-c780-4f90-a730-c32663546bee,167,1,294,Organic,2024-04-25
99f19cd0-0a7d-4f7f-a938-0cebb1f4c383,421,7,269,Referral,2024-01-03
dea6e233-cc75-404b-a3fb-9fb9bed64d49,487,2,252,Direct,2024-01-31
49d3fe0d-cdbe-4840-b688-7777b10ca587,961,2,35,Referral,2024-02-16
ae557cf6-6e6d-43f2-8f43-efd9b051990e,344,6,252,Organic,2024-01-20
fa65bdff-32a8-48a2-ad76-0907726712a8,89,10,242,Organic,2024-01-26
8f79d1cc-2e53-446b-b0c3-2f623b2141a3,42,10,246,Direct,2024-02-26
a0c9d282-ba43-4342-8fc4-e1e820e4e72d,565,3,297,Direct,2024-04-10
52ecaa49-da85-477e-b021-ec8aaa4812fc,876,5,65,Referral,2024-01-25
e6f65bdb-8cf2-4963-9cd3-9f696523ec30,129,6,215,Social,2024-01-02
97e2b40e-ad9b-4f09-8fe1-46a9fb8198ab,390,1,292,Organic,2024-01-11
c6b9e88a-c19b-4beb-85ad-e678969297fb,378,3,285,Organic,2024-04-24
e19b082a-cc78-4371-a3e3-087eb6b7b4eb,80,8,121,Referral,2024-02-05
4ff2e092-1dd6-4008-b976-8e68deb8f120,944,6,65,Social,2024-03-12
62e69109-4e3d-48ee-a863-7111523a77b3,274,2,129,Organic,2024-03-01
8eaabeb5-3d8d-43cc-939b-8a5856d99299,830,9,166,Social,2024-01-14
6812501d-3d20-427d-b0d6-c5a4b517fb6b,777,3,112,Direct,2024-04-01
82d08938-c1dc-408c-894f-86ddebccf624,239,2,118,Organic,2024-03-13
25e3b092-1af0-477c-b644-58b000bf3541,448,8,67,Social,2024-02-19
6e99677c-421d-42fd-b509-2ed5f4946fd3,473,2,43,Organic,2024-03-30
828debe9-aed4-4aff-ab9f-51c64b3a2721,86,1,85,Social,2024-04-24
baf4c1ea-643e-4b52-9191-f69af7133d83,128,4,217,Social,2024-04-09
be0b7dfd-b88d-4679-9eff-d36c6160abf4,934,5,63,Organic,2024-04-18
45d1d4f4-a7a2-42ea-b725-1e033395c0f9,561,8,279,Direct,2024-04-14
2526656e-4ebe-44cf-976c-14974aedf237,595,9,172,Social,2024-01-04
20a42ff7-7641-4a74-8c9f-005bec6e7256,181,4,234,Organic,2024-04-14
0408cf4c-8093-4bc1-9a27-61f8b9f72c92,519,9,133,Social,2024-02-02
04024b83-1fae-4a67-af21-925ee5d2963b,913,8,238,Social,2024-04-22
1ef6e39a-c788-4c9a-a9c5-bde67a073031,404,2,129,Direct,2024-04-26
64ed37ed-7b84-49db-9434-1686f635f3e9,420,7,117,Referral,2024-03-27
10290542-f7d4-4fe8-bb59-8d220b65846c,949,5,68,Organic,2024-04-13
5165c81b-03a6-4ab6-a1ec-5dede5bb7ea9,510,1,123,Social,2024-03-03
c72d0ec7-4f45-4106-9ae3-af639430f7d5,200,10,75,Organic,2024-02-12
a7589068-08d6-4c33-b0c5-a0d4ea91ee59,614,3,259,Social,2024-01-23
88dd2305-ce6b-4391-b312-2a441cf6a8cb,368,7,261,Referral,2024-03-06
1cf7efab-0c15-4903-964b-ff897a243c0f,590,8,30,Social,2024-04-12
d675cefb-eef8-4b74-82ca-257845e5aef6,317,9,101,Direct,2024-01-07
dd8abae8-9948-4d33-b4fe-8648aaffed53,979,7,42,Organic,2024-03-14
23f95982-c725-49e3-82df-588c89fcb1d4,213,5,288,Direct,2024-04-15
d600d8cf-1a2a-42a1-9bec-ee08c323c6fd,872,10,36,Direct,2024-04-02
9b4040c2-c2a5-45e1-b76c-7a0106edf5d9,536,4,112,Social,2024-04-14
7fa29531-1b87-473c-9be1-289c303b7d4e,802,8,170,Direct,2024-04-25
33ac4193-0bfe-4566-a156-6db4d900c378,838,5,116,Direct,2024-03-03
184dcac8-9107-42c1-b9e6-eb25ff6768ce,776,10,112,Social,2024-02-03
a6edbc30-976c-474a-a535-907b64e5854a,390,1,77,Referral,2024-04-18
01553268-49dd-461f-b339-bae0cde9e330,162,9,286,Referral,2024-01-14
17e5c07e-1d9f-430b-b49e-93407ab2858c,884,4,258,Direct,2024-04-13
0e92a35b-4f19-4b5b-b58b-95d84408c3ea,281,8,175,Organic,2024-04-11
ffb60fd7-9fa5-4e0b-ad4a-b647e821227a,939,6,56,Social,2024-02-17
b0004ec3-0ced-4cf0-8b54-53696a3fb4b6,814,6,41,Direct,2024-02-01
80a88807-50fc-4a32-b142-76a53d54bd2e,578,6,175,Direct,2024-01-21
32ae0a19-b77f-4c6c-8ac2-1059df8492fc,859,8,120,Referral,2024-01-30
3366fa6c-855a-42f6-9f53-2a6036444ccf,373,2,237,Organic,2024-04-22
45ed789f-38cf-4db1-97f3-ecfcf1d066ab,531,4,90,Social,2024-01-17
04fd7b84-94aa-407a-9b2a-669e8c06673d,173,1,79,Referral,2024-01-06
79f5bce3-1001-48c8-bb11-fc4f91ca2faa,487,3,72,Referral,2024-04-10
4bd883d5-eba1-4cde-ab9c-6ab3aa203d9f,896,2,127,Social,2024-04-21
db5392c6-8336-426e-994c-47fea3aeb6f9,583,9,155,Referral,2024-03-08
73797ea5-8b97-41ae-b575-51ae172e9e28,444,4,299,Organic,2024-03-28
44bfd545-8ef2-42e8-851c-0fedc6259225,455,3,127,Social,2024-04-13
7a914db7-72a4-4784-a0f1-444cae8133ca,643,1,67,Direct,2024-01-26
0d14c39e-a3e0-4bbe-bbe2-f45183c25c01,598,8,51,Direct,2024-04-25
8f44884c-fa7e-458a-a45e-83c324c81fa9,775,9,249,Organic,2024-03-05
4ddfd89b-e6d4-4ad4-84ec-85507c87b713,324,6,276,Direct,2024-01-06
cfd68053-b13d-41dc-9cc6-50c5a11324cd,950,7,35,Referral,2024-01-12
f2028497-5bbb-49b6-b4fe-fa2d7a1f7a56,856,1,56,Referral,2024-01-20
beb62caf-242b-48f9-8c1d-ff95b9976312,578,10,52,Organic,2024-01-21
fec80abe-89c1-4eb7-a3a4-8eb9b4922ba3,340,4,291,Social,2024-01-04
1b2d3e21-2378-4959-b50e-cbb299c73522,678,9,240,Direct,2024-02-07
3aeed850-4963-4c30-806b-44ae5dcba9e7,513,6,193,Direct,2024-04-16
00a0ab34-1c0c-44c0-ba7c-0a40784040c9,671,10,187,Referral,2024-01-11
dc94f382-1a2c-4829-872a-42246840eb2b,169,5,248,Organic,2024-04-26
246b1e96-0d3f-4080-8cf4-04a455c18f00,506,7,191,Referral,2024-02-12
b9c83a9e-6cde-4aee-87b1-2159c80ef88f,316,4,106,Direct,2024-04-15
2150324b-1bd9-4b1a-8a9e-9d358eaeb7d7,544,6,138,Social,2024-01-31
30c4065e-7507-480c-9308-5501236bee94,515,2,38,Referral,2024-02-12
0749586b-9ae1-4033-b8ff-bd06ad968363,649,1,258,Referral,2024-02-07
f954fb33-441b-42d6-8422-3c882bc945b2,658,4,221,Direct,2024-04-16
f5fd24c7-4c72-4ee6-af3a-31f9e584fa1a,745,7,37,Organic,2024-02-17
ce2a9426-9c11-44b0-a5b6-aa1b94dde956,354,2,185,Referral,2024-01-30
e4ae32b7-06f5-4a98-ae97-7314a920b264,735,4,298,Social,2024-02-12
f3f32012-c764-47f1-a004-a97f23dfa52a,522,3,171,Referral,2024-03-12
e3d43dd2-9730-4f46-92bd-92948e0c576c,976,9,63,Referral,2024-03-24
30ced4bb-7945-465e-8d48-a12c5e2fc5a6,598,8,158,Organic,2024-04-11
c267953c-dbbd-4d8b-8ee2-ca8bf0333626,706,10,98,Direct,2024-01-18
d8f564a0-292b-4b38-9e75-f18b077fd27c,116,7,206,Direct,2024-02-19
a91de468-d9f1-4d2e-93ac-54296be2b8a7,162,8,86,Organic,2024-02-02
de51eeae-6b4a-4a3d-bc2f-b65d9faa645d,637,4,61,Organic,2024-02-13
504cd781-1eac-4d3b-847a-8fe58e49c7d5,794,2,254,Direct,2024-02-01
1418c0ec-76b1-45f8-bd88-138e292d5fea,262,6,166,Social,2024-01-11
14874115-effd-422a-afa3-11752dd2284d,35,7,118,Social,2024-03-06
87564ec2-c4dc-4091-8bcb-624b14897e53,705,4,299,Organic,2024-01-24
5d5a9182-d36c-4345-bbc6-4630205e4f66,448,3,290,Organic,2024-03-15
69fdb611-c4df-4591-866e-cd573663ee59,490,10,279,Direct,2024-03-08
076a4abc-c20c-4ccb-bdb3-bfaed9170995,962,10,162,Referral,2024-03-12
61fb612e-31d3-44ea-9e79-f4d69aac59a7,11,6,45,Organic,2024-02-24
44b7944d-e701-4c25-bd97-714301374ea9,678,8,135,Organic,2024-03-13
b38c1434-974b-4698-81d8-18f5d70ee40f,329,5,161,Direct,2024-03-24
652c8689-7274-498b-9016-5f40aa287401,312,9,84,Organic,2024-01-05
4a32aa56-d948-43cc-b765-2ccdceb37277,953,5,40,Social,2024-01-03
5dca78a6-b56b-4b98-a88d-9524ba37de36,420,5,101,Social,2024-04-19
ed5e599f-27a8-4e4f-8645-ee99dce6656b,22,4,137,Organic,2024-02-01
2f2efdbe-da89-498f-91f9-c9842f15e6c2,794,10,34,Referral,2024-01-19
a4eb3e3f-b923-43bf-bd21-5b7b0720d4dc,463,10,279,Referral,2024-04-18
fe1bbd73-173b-4803-bd95-d76554beeb53,132,1,157,Referral,2024-01-17
8d53b5ec-3227-43c3-b028-4b6104591804,332,1,231,Referral,2024-03-27
0079f9c2-fcde-4d09-b8d3-1c30a396916e,407,9,273,Organic,2024-04-14
9e505f30-3913-4ab8-9156-678240800a6f,225,10,75,Referral,2024-03-19
908eb6b9-eb12-4fe2-93fa-60c346ef8c0f,404,7,118,Direct,2024-04-28
0d178a34-dd43-4028-a5b8-c016aa868030,751,7,56,Direct,2024-01-20
be7029c0-8ac7-4677-a40e-7bc36b2e89cc,516,4,216,Referral,2024-01-27
03e29571-0d96-4045-982d-06cc264feaed,644,10,200,Direct,2024-02-12
2a230a8f-5247-462d-acf2-160b367b82a5,103,5,44,Organic,2024-04-05
aee7e6be-4051-4f96-98b8-c7d7099fb39d,889,10,176,Social,2024-04-23
42cb18a6-2232-4514-b848-4a9931eccfdb,709,2,295,Social,2024-04-28
999b092c-8c8c-41a0-9bcb-7407e2ecda5f,360,3,191,Organic,2024-02-12
aa73f92a-31ab-4ea5-ac16-b10be0af7140,978,9,36,Direct,2024-01-24
553752a8-c629-4b3f-8504-8affa18bfade,939,9,55,Social,2024-04-27
8733fb05-4848-4e4a-9308-7ccb3e7244c5,484,4,290,Referral,2024-03-12
9f3cc317-8f5e-4e3f-b313-eb931225c240,730,9,261,Social,2024-03-20
70c82618-1e5c-411f-9b20-6f75b2dc64fb,583,3,158,Referral,2024-01-08
62c41681-b541-4cb2-82e6-434f63e303c5,413,5,264,Organic,2024-02-14
8e9121ee-e125-438e-af29-a8957489772e,96,7,135,Direct,2024-03-04
31f84cf4-f846-415f-9ac5-2492b87ef9fd,929,5,191,Referral,2024-02-06
079ccace-bd12-487a-9a1f-f2a332fdd3d9,435,1,146,Organic,2024-02-14
a52b22ad-99cc-4ea7-b8f4-b9ee7f0eeca0,997,3,261,Organic,2024-03-25
2a357327-eb4b-4783-a3e5-37a404a205cc,42,3,172,Social,2024-02-21
8cd0c46f-90d4-4190-b0e2-5a20e7fd77ba,499,10,268,Referral,2024-03-16
a882b06e-b5f0-403c-ba14-991065bcdade,113,8,71,Referral,2024-01-12
fee57b07-449d-44de-8a7f-d1cd8525b2ee,911,6,289,Organic,2024-01-18
e080d235-75cf-40df-9a9b-09cde79e24fd,692,1,82,Referral,2024-03-14
184215c6-4fd2-4fbd-8ac8-ab807826bc3c,263,10,91,Organic,2024-01-03
bd65e5f1-5844-4aa0-a4f0-ff770d8015ed,951,10,73,Direct,2024-02-09
d43877c1-fbba-4822-b864-c5ac3d72adda,802,6,111,Organic,2024-01-21
a8cd3170-37cd-4888-8cdd-44fc16fa2b58,87,10,155,Referral,2024-02-05
68875c8b-5578-4681-91b8-ec6730944665,440,5,56,Organic,2024-02-03
7efd6625-9aef-449f-9b5d-a7f4820b3e4f,9,2,88,Direct,2024-02-12
624b04f0-1f90-4730-a2b2-ec4a356ea89a,640,7,140,Direct,2024-02-08
407b6880-e6c5-4a8e-8c83-11c829ee364c,954,2,36,Referral,2024-04-14
17d865cf-d124-47ca-a7de-c7853591cb82,824,5,88,Referral,2024-03-14
c31c77af-0c0c-49bb-96a7-0bb51a133fc0,973,3,283,Organic,2024-01-04
62fb94d1-3d0c-4121-99b0-5b0745e0d546,213,4,180,Referral,2024-02-26
6a13dedc-0053-4712-a7ad-b771dfaa4109,715,1,33,Direct,2024-03-14
c1f57b2c-9c47-4ec5-aea0-a98219034b88,796,7,272,Organic,2024-01-18
8c138cf3-c01b-4789-9035-fb63df3f524d,81,9,268,Referral,2024-04-29
49279323-e191-4754-827e-6b59072831b3,220,2,79,Direct,2024-04-13
fe890143-c246-463e-95cf-a5f4bab00f12,174,6,44,Direct,2024-03-17
8e451aa2-47c7-42dd-a9f8-e71522844800,208,1,35,Organic,2024-01-27
815e6886-ed06-46b7-aa7a-e9e9ca9c8494,658,3,102,Referral,2024-04-04
80988b2a-c650-4c55-b5e3-a1864007c66b,536,8,250,Referral,2024-03-11
8a3203d3-7eba-4acf-b1f3-9b200f167120,378,3,158,Organic,2024-02-13
52452c5c-d01f-44ac-af99-2c45059ea5fe,616,7,34,Referral,2024-01-09
1686d8e3-ce35-4ec8-b070-202005d1a59e,866,10,85,Organic,2024-01-04
bddcc12b-15d9-47f4-a986-5c4432df558a,398,9,90,Referral,2024-01-08
1d1c1b64-7922-42cd-9e14-a2ea08ebe78c,380,8,290,Direct,2024-01-14
155d11d1-c676-472d-a307-51cffc64a92d,12,2,223,Direct,2024-04-03
691535c8-18e4-488e-9121-7fa7e6bf454e,360,2,91,Referral,2024-02-04
13285ae6-23be-4624-acf0-5e47c2388d9b,781,1,280,Organic,2024-02-26
8988fa87-9c5e-4edb-8a40-ec57eb414fbb,1,4,135,Referral,2024-03-15
5cfb896e-f1fe-453f-9b85-8d9b1d1d0fde,638,1,61,Organic,2024-01-21
078c818e-9e81-43d4-b180-98aa04b54613,959,6,37,Organic,2024-04-23
6383de87-42df-4f38-9d5f-c89e437d083b,390,4,257,Direct,2024-01-12
99dbad77-be04-41f9-81e1-e50da8125d0f,168,2,288,Organic,2024-04-17
07e71e01-f384-412c-a086-2d3fd71d6a8f,949,4,231,Referral,2024-04-12
43c22bf8-0def-4d6f-be24-ee5a3b9148bb,763,2,138,Direct,2024-02-28
28a99617-dabb-49ce-8f23-0b4899b37676,441,2,289,Social,2024-04-07
1f0d2d62-ec3b-4704-b6e8-2c7caa4c0d03,60,6,283,Direct,2024-03-13
6d68b04e-1080-42a7-a216-8d8c472b390a,696,1,224,Organic,2024-02-26
24f11189-76ae-4104-b6db-a761c92d934f,169,5,45,Referral,2024-02-27
65902109-56b4-40d4-be09-4bc065fc6912,513,6,115,Social,2024-04-28
aff1420b-419d-40f1-855d-bb251894df51,435,2,292,Organic,2024-04-28
689e1a54-2769-4a81-8f18-9480e752a780,778,7,43,Social,2024-02-15
49162885-3f14-41c3-af33-2295393e6c32,686,8,240,Referral,2024-03-06
4315014e-7d97-4c5c-adb6-9056c06861d3,372,9,185,Direct,2024-03-05
35ca8799-5983-40b9-bf71-c589b32ec5a5,802,4,228,Social,2024-02-18
405195ea-f619-4da2-a522-f0ad57e981f8,160,2,245,Direct,2024-04-22
ff131322-db9f-4253-92e3-8c3c76562712,550,10,94,Organic,2024-02-29
be4a0479-714a-415a-8651-563b2e3a6385,463,8,100,Social,2024-01-29
00e35c73-5a9b-4920-92d6-b0b320d26022,950,6,275,Direct,2024-03-20
c7013764-5c79-4794-bbb9-dd61b05c9364,262,6,242,Referral,2024-04-27
91de7bbe-b9a8-4133-aea9-6f549be58835,567,4,67,Referral,2024-04-17
d3838a7d-9f2c-4fc4-b633-b84076dd252d,642,8,112,Organic,2024-01-14
7c2fe8c1-07c3-49f9-86a1-e88776f4b0df,223,1,210,Organic,2024-04-24
0248f58f-1359-4db4-972f-7f5c272297de,573,6,201,Organic,2024-01-22
7e02f74a-8c42-4f98-a589-5b323bd233ae,760,5,112,Direct,2024-04-01
ff0db737-2014-45e9-ba6e-f4c66466df89,287,7,38,Referral,2024-02-02
7bbaf1d7-99f9-4264-b77a-c46939c671d9,84,8,174,Organic,2024-02-24
7b2ac1d3-0240-4424-bdcb-4a31f9084e62,988,9,53,Referral,2024-01-20
b7ddcc44-2840-4209-9d82-facb477730c2,858,8,116,Organic,2024-03-29
294157e4-3c01-41be-96f4-f78f9091255d,928,5,268,Direct,2024-01-22
cc06f86d-1d8d-4cfc-8f7f-15d6a5c22ccc,867,5,174,Direct,2024-02-28
3d25db0e-42ee-4f7a-9123-68f97b8975ad,960,9,276,Direct,2024-01-14
effdbfc4-63ce-4a6a-ab74-41e7552da727,206,1,30,Direct,2024-04-18
a9475bcc-22ea-4765-97ce-076e63426cc1,71,6,216,Referral,2024-04-28
ec4d0437-a035-4498-9be7-57f1dc848653,64,3,83,Direct,2024-04-12
8b00d3de-9f18-483f-8087-9c8253235e99,848,7,159,Referral,2024-03-29
b69efc43-eabb-4857-9856-8732a80c931c,628,8,181,Referral,2024-03-06
9254d637-1cd4-4438-bf62-c0ce805ca039,136,10,263,Organic,2024-02-03
